judul,vektor
klasifikasi penyakit stroke menggunakan algoritma knn dengan optimasi teknik bagging,"[0.7138, -0.1013, -0.0099, 0.0774, 0.1458, -0.3449, 0.8175, 0.1787, 0.1223, 0.4313, -0.1318, 0.2842, -0.357, 0.53, 0.5391, 0.0417, 0.3903, -0.0905, -0.2404, -0.0731, -0.1111, 0.1432, 0.0998, -0.2881, 0.4334, -0.4855, 0.2651, 0.3694, -0.6948, -0.4683, 0.2556, 0.2137, 0.2556, 0.5721, -0.2, -0.1991, -0.0908, 0.1137, -0.2117, 0.0499, -0.0387, -0.1824, 0.1571, -0.5331, 0.524, 0.4236, 0.1309, -0.2223, 0.1993, 0.3955]"
penerapan support vektor machine (svm) untuk klasifikasi sentimen aplikasi my pertamina pada google play store.,"[0.6655, -0.1291, -0.0239, 0.0771, 0.0476, -0.2846, 0.8008, 0.2231, 0.1584, 0.4693, -0.1548, 0.1685, -0.2716, 0.376, 0.4204, -0.0804, 0.3033, -0.0804, -0.2537, -0.0512, -0.2097, 0.0157, 0.153, -0.2758, 0.3537, -0.3344, 0.2049, 0.3309, -0.6035, -0.4864, 0.2357, 0.2061, 0.2709, 0.4961, -0.1722, -0.2923, -0.0913, 0.0453, -0.1286, -0.0839, -0.012, -0.118, 0.2289, -0.4701, 0.4234, 0.4463, 0.13, -0.2672, 0.2033, 0.3414]"
arsitektur microservice untuk resiliensi sistem web service e-commerce,"[0.6217, -0.0909, -0.0248, 0.0823, 0.038, -0.326, 0.7327, 0.2373, 0.1555, 0.4984, -0.1367, 0.2013, -0.2573, 0.3938, 0.3603, -0.0421, 0.3234, -0.0956, -0.2298, -0.0664, -0.2375, 0.0421, 0.0821, -0.209, 0.3831, -0.3429, 0.1626, 0.2832, -0.6005, -0.4957, 0.2164, 0.1737, 0.257, 0.4811, -0.1576, -0.2975, -0.0681, 0.118, -0.2008, -0.0187, -0.0684, -0.0682, 0.1645, -0.3997, 0.399, 0.3998, 0.1174, -0.1902, 0.1369, 0.315]"
implementasi nondeterministic finite-state machine pada npc (non-playable character) game akasha’s retaliare,"[0.6409, -0.0858, -0.0284, 0.0691, 0.0492, -0.3399, 0.7435, 0.2351, 0.1716, 0.486, -0.1441, 0.1963, -0.2527, 0.3887, 0.3655, -0.0379, 0.3177, -0.1055, -0.2372, -0.056, -0.226, 0.0404, 0.0913, -0.2055, 0.3863, -0.3567, 0.1739, 0.285, -0.6051, -0.4942, 0.2142, 0.1735, 0.2752, 0.4969, -0.1751, -0.2996, -0.0882, 0.1152, -0.2035, -0.0232, -0.0658, -0.0621, 0.1681, -0.4056, 0.4072, 0.4216, 0.1062, -0.225, 0.149, 0.3164]"
"penerapan metode single exponential smothing dalam sistem pendukung
keputusan untuk menentukan jumlah produksi (studi kasus di umkm
tahu desa sumber pakem kabupaten jember)","[0.6257, -0.1035, -0.0034, 0.1429, 0.0339, -0.3989, 0.903, 0.2778, 0.2816, 0.5992, -0.1817, 0.161, -0.2188, 0.374, 0.349, -0.0762, 0.3241, -0.2023, -0.1966, -0.0772, -0.3757, 0.0047, 0.0261, -0.1154, 0.4194, -0.2987, 0.0933, 0.275, -0.5933, -0.6576, 0.2093, 0.1779, 0.4285, 0.5554, -0.134, -0.4208, 0.0037, 0.2217, -0.2289, -0.0415, -0.1165, 0.0193, 0.1434, -0.4096, 0.3994, 0.4436, 0.0239, -0.1766, 0.1644, 0.3164]"
analisis sentimen terhadap anies baswedan menggunakan metode support vector machine studi kasus media sosial twitter,"[0.6396, -0.1101, -0.0046, 0.1389, 0.0493, -0.3776, 0.8979, 0.2547, 0.2637, 0.5668, -0.1736, 0.156, -0.2282, 0.3664, 0.3777, -0.0786, 0.312, -0.1875, -0.2042, -0.0777, -0.3401, 0.0059, 0.0531, -0.1393, 0.4004, -0.3069, 0.1206, 0.2881, -0.5953, -0.6276, 0.2187, 0.1869, 0.4018, 0.5486, -0.1359, -0.3939, -0.0157, 0.1867, -0.2009, -0.0613, -0.0981, -0.0165, 0.1635, -0.4277, 0.4055, 0.447, 0.0295, -0.2073, 0.1852, 0.3203]"
klasifikasi sentimen ulasan pelanggan layanan ekspedisi menggunakan algoritma naive bayes,"[0.8542, -0.1132, -0.0187, 0.1763, 0.2742, -0.3202, 0.9259, 0.1042, 0.0924, 0.356, -0.076, 0.3129, -0.3997, 0.4987, 0.7326, 0.078, 0.3536, -0.1267, -0.1987, -0.1179, 0.0036, 0.1684, 0.1463, -0.2989, 0.3595, -0.5449, 0.3658, 0.4412, -0.7791, -0.434, 0.3878, 0.2888, 0.2424, 0.6472, -0.1699, -0.0992, -0.1814, 0.0949, -0.1804, -0.0552, -0.0595, -0.315, 0.2404, -0.6041, 0.5883, 0.4235, 0.0764, -0.408, 0.3357, 0.4447]"
"implementasi algoritma fuzzy c-means dengan algoritma particle swarm optimization untuk
pengelompokan tingkat kesejahteraan masyarakat di provinsi jawa tengah","[0.7676, -0.0287, -0.1062, -0.0178, 0.0404, -0.5156, 0.7992, 0.3388, 0.2399, 0.521, -0.1698, 0.2596, -0.222, 0.4076, 0.242, 0.0577, 0.4179, -0.2432, -0.2523, -0.0358, -0.2907, 0.0539, 0.0336, -0.1135, 0.5296, -0.4714, 0.2055, 0.1955, -0.7112, -0.6003, 0.1512, 0.1269, 0.473, 0.5508, -0.3387, -0.3307, -0.2035, 0.2948, -0.4312, 0.066, -0.1917, 0.0424, 0.0532, -0.2809, 0.4408, 0.5261, 0.0576, -0.3532, 0.0935, 0.3376]"
klasifikasi penyakit diabetes melitus menggunakan metode fuzzy k-nearest neighbor in every class,"[0.7168, -0.0977, -0.0101, 0.0746, 0.1304, -0.3431, 0.847, 0.1912, 0.148, 0.4457, -0.149, 0.2568, -0.342, 0.5027, 0.524, 0.0045, 0.3887, -0.103, -0.2618, -0.0709, -0.1356, 0.1046, 0.1156, -0.2979, 0.4372, -0.4742, 0.2585, 0.3651, -0.686, -0.499, 0.2534, 0.212, 0.282, 0.5656, -0.2092, -0.2375, -0.0911, 0.0871, -0.1886, 0.0201, -0.0278, -0.1806, 0.177, -0.5495, 0.5308, 0.4743, 0.1286, -0.247, 0.2187, 0.4035]"
"perbandingan peramalan jumlah penjualan produk kopi menggunakan metode regresi linear dan single
moving average","[0.6375, -0.0847, -0.0148, 0.1214, 0.065, -0.4068, 0.8842, 0.2632, 0.2774, 0.5645, -0.1819, 0.1755, -0.2269, 0.3761, 0.3676, -0.0617, 0.321, -0.1922, -0.2313, -0.0755, -0.3405, 0.004, 0.0481, -0.1247, 0.419, -0.3246, 0.1139, 0.2883, -0.5913, -0.6222, 0.2288, 0.1701, 0.4014, 0.5596, -0.163, -0.3908, -0.039, 0.1983, -0.2322, -0.033, -0.1002, -0.0052, 0.1674, -0.419, 0.4086, 0.464, 0.0375, -0.1967, 0.1766, 0.3394]"
