judul,vektor
klasifikasi penyakit stroke menggunakan algoritma knn dengan optimasi teknik bagging,"[-0.2865, -0.126, 0.1069, -0.3875, -0.4214, 0.2668, -0.3831, 0.4421, 0.1217, 0.0674, -0.1416, 0.3127, 0.1073, 0.2958, -0.2366, 0.4748, -0.3768, 0.2045, 0.3091, -0.3492, 0.3658, -0.236, -0.5331, 0.6103, 0.0851, -0.048, 0.4824, 0.3972, 0.0614, -0.0104, -0.1479, 0.0314, 0.3116, -0.1167, 0.1098, 0.0606, -0.2218, -0.3523, -0.486, 0.1324, 0.2339, 0.0046, 0.3646, 0.114, 0.2027, -0.3802, -0.2704, 0.0041, -0.0279, 0.4904]"
penerapan support vektor machine (svm) untuk klasifikasi sentimen aplikasi my pertamina pada google play store.,"[-0.2848, -0.1264, 0.1091, -0.3854, -0.418, 0.2693, -0.3774, 0.4444, 0.1186, 0.0613, -0.1402, 0.3074, 0.1045, 0.2887, -0.2311, 0.4699, -0.3752, 0.2006, 0.3105, -0.3493, 0.3637, -0.231, -0.5305, 0.6053, 0.0853, -0.0469, 0.4756, 0.3948, 0.0634, -0.0074, -0.1535, 0.0267, 0.307, -0.1168, 0.1109, 0.0569, -0.2203, -0.3536, -0.4827, 0.1326, 0.2331, 0.003, 0.3598, 0.112, 0.2001, -0.3751, -0.2642, 0.0087, -0.0231, 0.4857]"
arsitektur microservice untuk resiliensi sistem web service e-commerce,"[-0.287, -0.125, 0.1114, -0.3893, -0.4235, 0.2725, -0.3808, 0.4502, 0.1186, 0.0621, -0.1433, 0.3098, 0.1057, 0.2906, -0.232, 0.4738, -0.3796, 0.2044, 0.3104, -0.3478, 0.3672, -0.2333, -0.5329, 0.6086, 0.0876, -0.0472, 0.4787, 0.4007, 0.0638, -0.0086, -0.1535, 0.0234, 0.3104, -0.1176, 0.1168, 0.0566, -0.2226, -0.3565, -0.4879, 0.1343, 0.2353, 0.0003, 0.363, 0.1103, 0.2023, -0.3779, -0.2661, 0.0087, -0.0252, 0.4889]"
implementasi nondeterministic finite-state machine pada npc (non-playable character) game akasha’s retaliare,"[-0.2866, -0.1257, 0.1114, -0.388, -0.4236, 0.2726, -0.3823, 0.4493, 0.1199, 0.0632, -0.1414, 0.3088, 0.1063, 0.2901, -0.2326, 0.4718, -0.3788, 0.2023, 0.3127, -0.35, 0.3677, -0.2336, -0.5343, 0.6118, 0.0885, -0.0475, 0.4798, 0.3998, 0.0639, -0.0098, -0.1533, 0.0233, 0.3119, -0.1185, 0.1139, 0.0566, -0.2221, -0.3575, -0.4871, 0.1337, 0.2353, -0.002, 0.3658, 0.1099, 0.2026, -0.3781, -0.2653, 0.0092, -0.0236, 0.4902]"
"penerapan metode single exponential smothing dalam sistem pendukung
keputusan untuk menentukan jumlah produksi (studi kasus di umkm
tahu desa sumber pakem kabupaten jember)","[-0.297, -0.1285, 0.1132, -0.399, -0.4353, 0.2789, -0.3869, 0.4575, 0.1248, 0.0685, -0.1456, 0.3157, 0.1056, 0.2968, -0.2376, 0.4879, -0.3897, 0.2074, 0.3221, -0.3565, 0.3779, -0.2408, -0.5442, 0.6222, 0.09, -0.048, 0.4898, 0.4099, 0.0609, -0.0081, -0.1564, 0.0195, 0.3191, -0.1208, 0.122, 0.0547, -0.225, -0.3661, -0.4985, 0.1369, 0.2421, -0.0045, 0.3762, 0.109, 0.2058, -0.3876, -0.2684, 0.0068, -0.0216, 0.4998]"
analisis sentimen terhadap anies baswedan menggunakan metode support vector machine studi kasus media sosial twitter,"[-0.2944, -0.1281, 0.1121, -0.3963, -0.4316, 0.2765, -0.3838, 0.4544, 0.1236, 0.0675, -0.1445, 0.3137, 0.1052, 0.2945, -0.2362, 0.484, -0.3868, 0.206, 0.3196, -0.3542, 0.3747, -0.2389, -0.5402, 0.6176, 0.0886, -0.0472, 0.487, 0.4068, 0.0605, -0.0079, -0.1552, 0.0201, 0.3168, -0.1203, 0.1204, 0.0542, -0.2232, -0.3636, -0.495, 0.136, 0.2403, -0.0033, 0.3734, 0.1094, 0.2044, -0.3847, -0.267, 0.0069, -0.022, 0.496]"
klasifikasi sentimen ulasan pelanggan layanan ekspedisi menggunakan algoritma naive bayes,"[-0.2885, -0.1314, 0.1075, -0.3954, -0.4251, 0.2674, -0.3888, 0.4456, 0.1261, 0.0698, -0.1432, 0.3204, 0.1126, 0.3028, -0.2432, 0.4827, -0.3799, 0.2085, 0.3118, -0.3587, 0.3718, -0.2416, -0.543, 0.6205, 0.0838, -0.0501, 0.4941, 0.4066, 0.0624, -0.0118, -0.1492, 0.0351, 0.321, -0.1223, 0.1074, 0.0614, -0.2266, -0.3599, -0.4921, 0.1335, 0.2424, 0.0101, 0.3742, 0.1179, 0.2063, -0.3865, -0.2748, 0.0065, -0.0304, 0.4987]"
"implementasi algoritma fuzzy c-means dengan algoritma particle swarm optimization untuk
pengelompokan tingkat kesejahteraan masyarakat di provinsi jawa tengah","[-0.29, -0.1218, 0.1171, -0.394, -0.4407, 0.2704, -0.3853, 0.4548, 0.119, 0.0628, -0.1446, 0.3064, 0.1046, 0.2956, -0.2381, 0.4841, -0.3911, 0.2061, 0.3218, -0.3607, 0.3753, -0.2337, -0.5458, 0.6271, 0.0894, -0.0453, 0.4833, 0.4093, 0.0665, -0.0114, -0.1565, 0.0243, 0.3169, -0.1145, 0.1264, 0.0548, -0.2231, -0.3664, -0.4961, 0.1356, 0.2346, -0.0106, 0.3692, 0.1146, 0.2051, -0.3859, -0.2693, 0.0058, -0.0219, 0.4946]"
klasifikasi penyakit diabetes melitus menggunakan metode fuzzy k-nearest neighbor in every class,"[-0.2987, -0.1324, 0.1131, -0.4064, -0.442, 0.2809, -0.4007, 0.4657, 0.1254, 0.0667, -0.1495, 0.326, 0.1118, 0.3064, -0.2458, 0.4956, -0.3957, 0.2128, 0.324, -0.3651, 0.3835, -0.2444, -0.5592, 0.6394, 0.0897, -0.0485, 0.503, 0.4178, 0.0656, -0.0098, -0.1579, 0.0308, 0.324, -0.1229, 0.1179, 0.0605, -0.2333, -0.3706, -0.5097, 0.1402, 0.2449, 0.0041, 0.3816, 0.1184, 0.2119, -0.3961, -0.2815, 0.0057, -0.0271, 0.511]"
"perbandingan peramalan jumlah penjualan produk kopi menggunakan metode regresi linear dan single
moving average","[-0.2996, -0.1298, 0.1129, -0.4007, -0.4359, 0.2802, -0.3932, 0.458, 0.1243, 0.0682, -0.1473, 0.3158, 0.1069, 0.2987, -0.2395, 0.4883, -0.3926, 0.208, 0.3216, -0.3605, 0.3802, -0.2409, -0.548, 0.6271, 0.0905, -0.0486, 0.4941, 0.4125, 0.0624, -0.0088, -0.1575, 0.0205, 0.3211, -0.1214, 0.1199, 0.0575, -0.228, -0.368, -0.5016, 0.1374, 0.2437, -0.0034, 0.3771, 0.1116, 0.2078, -0.3903, -0.2727, 0.0074, -0.0237, 0.502]"
sistem pakar diagnosa awal penyakit lambung menggunakan metode cosine similarity berbasis web,"[-0.2971, -0.1264, 0.1131, -0.4012, -0.4395, 0.2849, -0.3979, 0.4645, 0.126, 0.0642, -0.1474, 0.3192, 0.1079, 0.2988, -0.2403, 0.4907, -0.392, 0.2078, 0.321, -0.3578, 0.3809, -0.2414, -0.5528, 0.631, 0.0925, -0.0511, 0.4929, 0.4127, 0.063, -0.004, -0.1577, 0.0248, 0.3197, -0.1215, 0.1213, 0.06, -0.2297, -0.3668, -0.5057, 0.1384, 0.2411, -0.0032, 0.3739, 0.1168, 0.2109, -0.3907, -0.2748, 0.0081, -0.0235, 0.5082]"
"perancangan augmented reality world kids sebagai media pembelajaran bahasa inggris
menggunakan metode marker based tracking","[-0.2928, -0.1257, 0.111, -0.3936, -0.427, 0.2768, -0.3879, 0.4537, 0.1212, 0.0627, -0.1415, 0.3135, 0.1073, 0.2969, -0.2378, 0.4768, -0.3831, 0.2058, 0.3157, -0.3539, 0.3727, -0.2366, -0.5413, 0.6162, 0.0897, -0.0492, 0.4856, 0.4069, 0.0612, -0.0074, -0.1557, 0.0238, 0.3148, -0.1182, 0.1162, 0.0568, -0.2244, -0.3614, -0.4949, 0.1329, 0.2382, 0.0002, 0.3672, 0.1124, 0.2062, -0.3844, -0.2691, 0.0072, -0.024, 0.4947]"
perancangan sistem aplikasi mathematic geometri game menggunakan metode finite state machine ,"[-0.2805, -0.1217, 0.1078, -0.3797, -0.4129, 0.2665, -0.372, 0.4395, 0.1151, 0.0593, -0.1375, 0.3012, 0.1036, 0.2834, -0.227, 0.4593, -0.3706, 0.1966, 0.3045, -0.3416, 0.3583, -0.2268, -0.5209, 0.5959, 0.086, -0.0453, 0.4669, 0.3913, 0.0617, -0.0089, -0.1506, 0.0234, 0.3028, -0.1141, 0.1127, 0.0552, -0.2162, -0.3494, -0.4751, 0.1288, 0.2306, -0.0013, 0.355, 0.108, 0.1976, -0.37, -0.2591, 0.0078, -0.0224, 0.4775]"
optimasi klasifikasi gangguan autisme menggunakan boostrap aggregrating pada algoritma c4.5,"[-0.2971, -0.1311, 0.1112, -0.4011, -0.4351, 0.2786, -0.3985, 0.4589, 0.1266, 0.0687, -0.148, 0.3236, 0.1126, 0.3051, -0.245, 0.4895, -0.391, 0.2116, 0.3193, -0.3618, 0.3814, -0.245, -0.5536, 0.6324, 0.0895, -0.0498, 0.5003, 0.4137, 0.0635, -0.01, -0.1565, 0.0307, 0.3235, -0.123, 0.1135, 0.062, -0.2316, -0.366, -0.5035, 0.1368, 0.2434, 0.0048, 0.378, 0.1183, 0.2106, -0.3937, -0.2783, 0.0086, -0.0277, 0.5096]"
"penerapan levenshtein distance terhadap support vector machine (svm) dalam analisis sentimen teks
studi kasus ulasan aplikasi dana","[-0.2875, -0.1271, 0.1112, -0.3905, -0.4237, 0.2723, -0.3825, 0.4501, 0.1212, 0.062, -0.1413, 0.3121, 0.1071, 0.2927, -0.2353, 0.4759, -0.3803, 0.2049, 0.3145, -0.3515, 0.369, -0.2351, -0.536, 0.6126, 0.0863, -0.0471, 0.4822, 0.4019, 0.0634, -0.0083, -0.1539, 0.0263, 0.3128, -0.1187, 0.1142, 0.0563, -0.2224, -0.3581, -0.489, 0.1342, 0.2363, 0.0022, 0.3669, 0.1127, 0.2025, -0.38, -0.2686, 0.0088, -0.0252, 0.4916]"
implementasimetode multi attribute utility theory (maut) untuk sistem pendukung keputusan pada pembelian motor bekas,"[-0.2993, -0.1304, 0.1169, -0.4082, -0.4462, 0.2861, -0.3978, 0.4704, 0.1245, 0.0622, -0.1446, 0.3226, 0.1087, 0.3008, -0.2419, 0.4954, -0.3966, 0.2117, 0.329, -0.3637, 0.3834, -0.2445, -0.5592, 0.6357, 0.0933, -0.051, 0.5008, 0.4201, 0.0666, -0.0099, -0.1625, 0.0267, 0.3245, -0.1194, 0.1226, 0.0592, -0.2322, -0.3742, -0.5099, 0.1395, 0.2484, -0.0072, 0.38, 0.1144, 0.2112, -0.3985, -0.2768, 0.008, -0.0231, 0.5139]"
